40
Symbol,Volume
MDLZ,39514755.0
MPWR,2136299.0
MNST,22182820.0
MCO,4483632.0
MS,29447409.0
MOS,27704608.0
MSI,4556709.0
MSCI,3722119.0
NDAQ,20299541.0
NTAP,10130714.0
NFLX,13705857.0
NEM,66123227.0
NWSA,17778702.0
NWS,9152585.0
NEE,56816993.0
NKE,75429874.0
NI,33337339.0
NDSN,1470162.0
NSC,11416816.0
NTRS,6459114.0
NOC,4000028.0
NCLH,61814534.0
NRG,13899899.0
NUE,9635570.0
NVDA,1094227732.0
NVR,88802.0
NXPI,10078688.0
ORLY,26772076.0
OXY,53118530.0
ODFL,15012688.0
OMC,15178708.0
ON,40730778.0
OKE,21783309.0
ORCL,202849585.0
OTIS,12514608.0
PCAR,21589422.0
PKG,3019737.0
PLTR,314448394.0
PANW,35567953.0
PARA,61207586.0
PH,2289935.0
PAYX,22033553.0
PAYC,3593415.0
PYPL,60546904.0
PNR,4851632.0
PEP,37652993.0
PFE,265405415.0
PCG,116659053.0
PM,27459908.0
PSX,20563397.0
PNW,6337336.0
PNC,7041081.0
POOL,2687717.0
PPG,11450388.0
PPL,22895682.0
PFG,5740394.0
PG,42999933.0
PGR,16732223.0
PLD,15454447.0
PRU,7510725.0
PTC,4072731.0
PEG,13540040.0
PSA,5582849.0
PHM,9244889.0
QRVO,10633199.0
QCOM,38662718.0
PWR,5939248.0
DGX,4109456.0
RL,3130825.0
RJF,7752736.0
O,32387482.0
REG,5787933.0
REGN,6115828.0
RF,101232687.0
RSG,7138753.0
RMD,4177748.0
RVTY,5498267.0
ROK,4206017.0
ROL,11014953.0
ROP,4600037.0
ROST,15971492.0
RCL,8676087.0
RTX,21977435.0
SPGI,12074886.0
CRM,39987616.0
SBAC,7504639.0
SLB,100707684.0
STX,22909014.0
SRE,27851913.0
NOW,7608328.0
SHW,7183702.0
SPG,8359039.0
SWKS,12645234.0
SW,19849146.0
SNA,1451413.0
SOLV,6246126.0
SO,31035521.0
LUV,55469566.0
SWK,9260761.0
SBUX,48889543.0
STT,6951338.0
STLD,8096587.0
STE,2737060.0
SYK,9015453.0
SMCI,162072601.0
SYF,13652824.0
SNPS,20392150.0
SYY,17319727.0
TMUS,21949429.0
TROW,7097690.0
TTWO,13407286.0
TPR,17586427.0
TRGP,7302685.0
TGT,53932197.0
TEL,9802154.0
TDY,1910841.0
TFX,4111883.0
TER,24372543.0
TSLA,573372460.0
TXN,35289464.0
TXT,7457805.0
TMO,15008775.0
TJX,23129273.0
TSCO,22422686.0
TT,7886734.0
TDG,1380942.0
TRV,4671744.0
TRMB,7193164.0
TFC,36681672.0
TYL,1661597.0
TSN,13938872.0
USB,45062327.0
UBER,89401569.0
UDR,11829196.0
ULTA,3449438.0
UNP,33913629.0
UAL,29984236.0
UPS,46595748.0
URI,2636803.0
UNH,51117310.0
UHS,3831081.0
VLO,19850999.0
VTR,19011753.0
VLTO,6925723.0
VRSN,3587037.0
VRSK,7663735.0
VZ,97678001.0
VRTX,10896843.0
VTRS,48538190.0
VICI,57537461.0
V,45601769.0
VST,25639904.0
VMC,3872980.0
WRB,10371186.0
GWW,1456999.0
WAB,7175605.0
WMT,71794240.0
DIS,54242689.0
WBD,272969130.0
WM,9182350.0
WAT,3110785.0
WEC,12031118.0
WFC,64322331.0
WELL,19451491.0
WST,4017841.0
WDC,45012934.0
WY,25597061.0
WMB,44879935.0
WTW,2980285.0
WYNN,7193532.0
XEL,48103027.0
XYL,5298568.0
YUM,9784145.0
