44
Symbol,Volume
MDLZ,36382764.0
MPWR,2895419.0
MNST,23520024.0
MCO,6349274.0
MS,29149869.0
MOS,30599263.0
MSI,4247688.0
MSCI,3032280.0
NDAQ,20702716.0
NTAP,9159529.0
NFLX,44171025.0
NEM,100660188.0
NWSA,14500193.0
NWS,3180788.0
NEE,39841483.0
NKE,50737316.0
NI,23554960.0
NDSN,1275959.0
NSC,7630668.0
NTRS,7119323.0
NOC,5741947.0
NCLH,93129240.0
NRG,12172754.0
NUE,7983763.0
NVDA,788637177.0
NVR,122291.0
NXPI,15435173.0
ORLY,36829792.0
OXY,55634578.0
ODFL,9856738.0
OMC,24470915.0
ON,60849318.0
OKE,20885437.0
ORCL,109127715.0
OTIS,11331888.0
PCAR,23481041.0
PKG,7566426.0
PLTR,223125664.0
PANW,23389051.0
PH,2939727.0
PAYX,17853657.0
PAYC,2681221.0
PYPL,52671609.0
PNR,9219957.0
PEP,30161482.0
PFE,210677154.0
PCG,110856407.0
PM,69570036.0
PSX,12266314.0
PNW,6912317.0
PNC,14389942.0
POOL,5017353.0
PPG,7990040.0
PPL,32132088.0
PFG,5650589.0
PG,47813090.0
PGR,20610874.0
PLD,18435094.0
PRU,6490433.0
PTC,3626274.0
PEG,14138220.0
PSA,4884368.0
PHM,17046345.0
QRVO,6326155.0
QCOM,43496092.0
PWR,6014438.0
DGX,8929285.0
RL,2633164.0
RJF,10757358.0
O,24289970.0
REG,5120734.0
REGN,4511574.0
RF,324532991.0
RSG,5895867.0
RMD,5238836.0
RVTY,8761433.0
ROK,2797361.0
ROL,7918735.0
ROP,7006178.0
ROST,8994137.0
RCL,8045789.0
RTX,40556422.0
SPGI,8236983.0
CRM,49762969.0
SBAC,4583427.0
SLB,106585638.0
STX,20239062.0
SRE,15150472.0
NOW,6527102.0
SHW,14223796.0
SPG,6305414.0
SWKS,12483810.0
SW,17629658.0
SNA,1798604.0
SOLV,3955032.0
SO,24966094.0
LUV,85795545.0
SWK,8074783.0
SBUX,37481897.0
STT,15336492.0
STLD,10071839.0
STE,2502104.0
SYK,7890784.0
SMCI,216430812.0
SYF,14978105.0
SNPS,9617417.0
SYY,15618745.0
TMUS,36409125.0
TROW,6603921.0
TTWO,6802001.0
TPR,10917795.0
TRGP,7596516.0
TGT,32798378.0
TEL,11949962.0
TDY,2320837.0
TFX,2224620.0
TER,15417194.0
TSLA,516577845.0
TXN,66548766.0
TXT,13290628.0
TMO,14146553.0
TJX,22966128.0
TSCO,42166876.0
TT,7331726.0
TDG,1588828.0
TRV,6208768.0
TRMB,7547771.0
TFC,44282939.0
TYL,1471416.0
TSN,13723370.0
USB,61338673.0
UBER,72464359.0
UDR,18539761.0
ULTA,2999017.0
UNP,22270375.0
UAL,38270449.0
UPS,33136309.0
URI,3984100.0
UNH,37207486.0
UHS,3547791.0
VLO,15178595.0
VTR,12977414.0
VLTO,6334857.0
VRSN,11576663.0
VRSK,5847241.0
VZ,196003403.0
VRTX,7627320.0
VTRS,35722129.0
VICI,49757649.0
V,27484367.0
VST,27774322.0
VMC,4174638.0
WRB,26432304.0
GWW,1390305.0
WAB,5589686.0
WMT,63748805.0
DIS,43179963.0
WBD,228503892.0
WM,8643081.0
WAT,3452696.0
WEC,11198987.0
WFC,96985781.0
WELL,12542638.0
WST,6015976.0
WDC,44150806.0
WY,22982424.0
WMB,52791365.0
WTW,2865480.0
WYNN,8546876.0
XEL,19460700.0
XYL,5086130.0
YUM,8480803.0
